TradingDay,ExchangeID,ProductID,InstrumentID,ProductClass,Volume,MaxVolume,Turnover,MaxTurnover,OpenInterest,MaxOpenInterest,Rank
20230103,CFFEX,IC,IC2301,1,45370.0,45375.0,2769195232640.00000000,2769195232640.00000000,97188.0,114401.0,1
20230103,CFFEX,IC,IC2303,1,13683.0,45375.0,844125151960.00000000,2769195232640.00000000,114401.0,114401.0,2
20230103,CFFEX,IC,IC2306,1,5913.0,45375.0,355402135360.00000000,2769195232640.00000000,92121.0,114401.0,3
20230103,CFFEX,IF,IF2301,1,67115.0,67115.0,4154397225540.00000000,4154397225540.00000000,95112.0,95112.0,1
20230103,CFFEX,IF,IF2303,1,17450.0,67115.0,1081144314060.00000000,4154397225540.00000000,75744.0,95112.0,2
20230103,CFFEX,IF,IF2306,1,5281.0,67115.0,332657617200.00000000,4154397225540.00000000,38817.0,95112.0,3
20230103,CFFEX,IH,IH2301,1,43791.0,43791.0,1858681980420.00000000,1858681980420.00000000,63893.0,63893.0,1
20230103,CFFEX,IH,IH2303,1,13165.0,43791.0,566354926380.00000000,1858681980420.00000000,44154.0,63893.0,2
20230103,CFFEX,IH,IH2306,1,3758.0,43791.0,162318625500.00000000,1858681980420.00000000,15901.0,63893.0,3
20230103,CFFEX,IM,IM2301,1,29613.0,29613.0,1937380685720.00000000,1937380685720.00000000,46448.0,46448.0,1
20230103,CFFEX,IM,IM2303,1,10199.0,29613.0,649754592920.00000000,1937380685720.00000000,43880.0,46448.0,2
20230103,CFFEX,IM,IM2306,1,4564.0,29613.0,297668415800.00000000,1937380685720.00000000,40427.0,46448.0,3
20230103,CFFEX,T,T2303,1,43709.0,53874.0,2213458912400.00000000,2213458912400.00000000,149427.0,151441.0,1
20230103,CFFEX,T,T2306,1,3474.0,53874.0,168642061200.00000000,2213458912400.00000000,12665.0,151441.0,2
20230103,CFFEX,T,T2309,1,258.0,53874.0,11352899450.00000000,2213458912400.00000000,529.0,151441.0,3
20230103,CFFEX,TF,TF2303,1,35418.0,39423.0,1855348561850.00000000,1855348561850.00000000,88221.0,88703.0,1
20230103,CFFEX,TF,TF2306,1,783.0,39423.0,39427574350.00000000,1855348561850.00000000,4599.0,88703.0,2
20230103,CFFEX,TF,TF2309,1,490.0,39423.0,27210115400.00000000,1855348561850.00000000,618.0,88703.0,3
20230103,CFFEX,TS,TS2303,1,28635.0,31900.0,2735525291700.00000000,2735525291700.00000000,41050.0,41432.0,1
20230103,CFFEX,TS,TS2309,1,266.0,31900.0,28909556200.00000000,2735525291700.00000000,488.0,41432.0,2
20230103,CFFEX,TS,TS2306,1,138.0,31900.0,14111076000.00000000,2735525291700.00000000,2763.0,41432.0,3
20230103,DCE,a,a2305,1,104989.0,104989.0,303019280200.00000000,303019280200.00000000,149965.0,163200.0,1
20230103,DCE,a,a2303,1,13129.0,104989.0,37526935160.00000000,303019280200.00000000,39978.0,163200.0,2
20230103,DCE,a,a2307,1,9709.0,104989.0,29055249650.00000000,303019280200.00000000,20504.0,163200.0,3
20230103,DCE,b,b2302,1,35553.0,35563.0,102925254100.00000000,102925254100.00000000,35401.0,35401.0,1
20230103,DCE,b,b2303,1,4066.0,35563.0,11589920530.00000000,102925254100.00000000,10900.0,35401.0,2
20230103,DCE,b,b2305,1,1316.0,35563.0,3357906970.00000000,102925254100.00000000,3548.0,35401.0,3
20230103,DCE,bb,bb2304,1,0.0,0.0,0.00000000,0.00000000,0.0,0.0,1
20230103,DCE,bb,bb2309,1,0.0,0.0,0.00000000,0.00000000,0.0,0.0,2
20230103,DCE,bb,bb2308,1,0.0,0.0,0.00000000,0.00000000,0.0,0.0,3
20230103,DCE,c,c2303,1,301320.0,301325.0,478339666000.00000000,478339666000.00000000,705314.0,705314.0,1
20230103,DCE,c,c2305,1,74908.0,301325.0,111879696400.00000000,478339666000.00000000,377229.0,705314.0,2
20230103,DCE,c,c2307,1,66042.0,301325.0,103657620500.00000000,478339666000.00000000,306587.0,705314.0,3
20230103,DCE,cs,cs2303,1,107863.0,107873.0,177982941000.00000000,177982941000.00000000,144881.0,154661.0,1
20230103,DCE,cs,cs2305,1,30072.0,107873.0,51604365590.00000000,177982941000.00000000,71943.0,154661.0,2
20230103,DCE,cs,cs2309,1,6856.0,107873.0,11445195940.00000000,177982941000.00000000,8675.0,154661.0,3
20230103,DCE,eb,eb2302,1,144051.0,144051.0,333868134000.00000000,333868134000.00000000,216037.0,216037.0,1
20230103,DCE,eb,eb2303,1,23966.0,144051.0,56014799650.00000000,333868134000.00000000,53817.0,216037.0,2
20230103,DCE,eb,eb2305,1,6837.0,144051.0,15889407800.00000000,333868134000.00000000,8417.0,216037.0,3
20230103,DCE,eg,eg2305,1,329046.0,329046.0,740414196400.00000000,740414196400.00000000,307451.0,307451.0,1
20230103,DCE,eg,eg2302,1,27895.0,329046.0,64153507540.00000000,740414196400.00000000,49280.0,307451.0,2
20230103,DCE,eg,eg2303,1,19000.0,329046.0,43098900860.00000000,740414196400.00000000,50881.0,307451.0,3
20230103,DCE,fb,fb2303,1,923.0,923.0,469019705.00000000,469019705.00000000,1679.0,1694.0,1
20230103,DCE,fb,fb2302,1,38.0,923.0,11158365.00000000,469019705.00000000,108.0,1694.0,2
20230103,DCE,fb,fb2312,1,13.0,923.0,10159210.00000000,469019705.00000000,1.0,1694.0,3
20230103,DCE,i,i2305,1,523227.0,523307.0,2485639066000.00000000,2485639066000.00000000,856521.0,881452.0,1
20230103,DCE,i,i2309,1,35601.0,523307.0,160054544700.00000000,2485639066000.00000000,87765.0,881452.0,2
20230103,DCE,i,i2302,1,25887.0,523307.0,128305438700.00000000,2485639066000.00000000,85377.0,881452.0,3
20230103,DCE,j,j2305,1,31800.0,31800.0,458929863600.00000000,458929863600.00000000,30963.0,31371.0,1
20230103,DCE,j,j2309,1,568.0,31800.0,8194686950.00000000,458929863600.00000000,1521.0,31371.0,2
20230103,DCE,j,j2301,1,282.0,31800.0,1588766000.00000000,458929863600.00000000,834.0,31371.0,3
20230103,DCE,jd,jd2305,1,92518.0,92518.0,224729906400.00000000,224729906400.00000000,118214.0,119689.0,1
20230103,DCE,jd,jd2303,1,12817.0,92518.0,29361497720.00000000,224729906400.00000000,31997.0,119689.0,2
20230103,DCE,jd,jd2302,1,11403.0,92518.0,24821177850.00000000,224729906400.00000000,18756.0,119689.0,3
20230103,DCE,jm,jm2305,1,51985.0,51985.0,312816362600.00000000,312816362600.00000000,74002.0,74851.0,1
20230103,DCE,jm,jm2309,1,1449.0,51985.0,8429355090.00000000,312816362600.00000000,3730.0,74851.0,2
20230103,DCE,jm,jm2301,1,70.0,51985.0,232381680.00000000,312816362600.00000000,489.0,74851.0,3
20230103,DCE,l,l2305,1,263838.0,263838.0,575360217100.00000000,575360217100.00000000,357600.0,358609.0,1
20230103,DCE,l,l2302,1,46778.0,263838.0,108801625400.00000000,575360217100.00000000,57863.0,358609.0,2
20230103,DCE,l,l2303,1,43930.0,263838.0,102263014900.00000000,575360217100.00000000,95347.0,358609.0,3
20230103,DCE,lh,lh2303,1,27889.0,27889.0,369587248900.00000000,369587248900.00000000,46841.0,46841.0,1
20230103,DCE,lh,lh2305,1,4553.0,27889.0,67995147040.00000000,369587248900.00000000,20969.0,46841.0,2
20230103,DCE,lh,lh2307,1,1011.0,27889.0,15022864560.00000000,369587248900.00000000,4832.0,46841.0,3
20230103,DCE,m,m2305,1,504006.0,504292.0,1108506597000.00000000,1108506597000.00000000,1381469.0,1384320.0,1
20230103,DCE,m,m2303,1,79652.0,504292.0,197384800900.00000000,1108506597000.00000000,285274.0,1384320.0,2
20230103,DCE,m,m2307,1,38085.0,504292.0,84937904300.00000000,1108506597000.00000000,128670.0,1384320.0,3
20230103,DCE,p,p2305,1,537273.0,539614.0,2445338907000.00000000,2445338907000.00000000,437978.0,438697.0,1
20230103,DCE,p,p2302,1,16829.0,539614.0,75341708600.00000000,2445338907000.00000000,60449.0,438697.0,2
20230103,DCE,p,p2303,1,10146.0,539614.0,45267234620.00000000,2445338907000.00000000,78824.0,438697.0,3
20230103,DCE,pg,pg2302,1,88160.0,88168.0,415121111200.00000000,415121111200.00000000,71265.0,82278.0,1
20230103,DCE,pg,pg2303,1,24804.0,88168.0,113215085900.00000000,415121111200.00000000,32923.0,82278.0,2
